host_id,price,number_of_reviews,calculated_host_listings_count,availability_365,host_since_days,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,,host_identity_verified,accommodates,bathrooms,bedrooms,beds,avg_rm,availability_30,availability_60,availability_90,number_of_reviews_ltm,instant_bookable,NumberOfVerfication,govermentIdentification,numberofamentities
17850692,526,10,7,0,2318,t,7,7,t,1,t,12,3,3,7,4.333333333,0,0,0,1,f,6,yes,36
2777149,55,1,1,336,3058,t,2,2,t,1,t,2,1,1,0,0.666666667,1,31,61,0,f,6,no,31
55022632,55,1,1,0,1761,f,1,1,t,1,f,2,1,0,1,0.666666667,0,0,0,0,f,5,yes,8
215084034,59,18,1,80,792,t,0,0,t,1,f,2,1,1,1,1,20,50,80,18,f,2,no,38
2325333,60,258,2,3,3110,f,2,2,t,1,t,2,1,1,1,1,0,2,2,54,f,8,yes,20
274362674,600,0,1,179,494,f,1,1,t,1,f,4,2,2,3,2.333333333,29,59,89,0,t,2,no,16
301775154,63,13,24,350,397,f,14,14,t,1,f,5,1,2,2,1.666666667,22,52,82,13,t,6,yes,30
3547828,64,1,11,326,2983,f,10,10,t,1,t,2,1,1,1,1,1,21,51,1,f,7,yes,22
114390628,64,37,1,0,1380,f,1,1,t,1,t,2,1,0,1,0.666666667,0,0,0,0,f,5,no,26
301775154,65,7,24,355,397,f,14,14,t,1,f,6,1,2,3,2,21,51,81,7,t,6,yes,31
301775154,65,15,24,339,397,f,14,14,t,1,f,6,1,2,3,2,23,43,73,15,t,6,yes,33
301775154,65,8,24,357,397,f,14,14,t,1,f,5,1,2,2,1.666666667,26,56,86,8,t,6,yes,30
301775154,65,11,24,353,397,f,14,14,t,1,f,6,1,2,3,2,22,52,82,11,t,6,yes,31
47354827,66,276,3,148,1846,t,3,3,t,1,t,3,1,0,2,1,4,28,58,91,t,9,yes,32
94727905,68,20,1,0,1522,f,1,1,t,1,t,2,1,1,1,1,0,0,0,0,f,7,yes,15
17850692,683,17,7,0,2318,t,7,7,t,1,t,12,4,4,6,4.666666667,0,0,0,2,f,6,yes,44
48206161,683,1,2,102,1835,t,15,15,t,1,f,4,1,2,2,1.666666667,0,16,34,1,f,5,no,36
