host_id,price,number_of_reviews,calculated_host_listings_count,availability_365,host_since_days,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,avg_rm,availability_30,availability_60,availability_90,number_of_reviews_ltm,instant_bookable,NumberOfVerfication,govermentIdentification,numberofamentities
112965740,75,1,1,0,1387,f,1,t,f,2,1,1,2,1.333333333,0,0,0,1,t,8,yes,39
162268141,80,0,2,365,1065,f,1,t,f,1,2,1,1,1.333333333,30,60,90,0,t,1,no,16
162268141,90,0,2,365,1065,f,1,t,f,2,1,1,1,1,30,60,90,0,t,1,no,16
92276155,99,26,3,209,1535,t,3,t,f,2,1,1,1,1,1,1,1,4,t,4,no,41
766039,110,1,8,89,3420,t,8,t,t,2,1,1,1,1,30,60,89,0,f,6,yes,29
6376612,42,1,1,83,2738,f,1,t,f,2,1,1,,1,24,54,83,1,f,8,yes,17
49178798,45,30,1,0,1821,t,1,t,f,2,15,1,1,5.666666667,0,0,0,9,f,4,no,27
303335248,45,27,1,12,388,t,0,t,f,2,1,1,1,1,0,12,12,27,t,2,no,29
766039,49,62,8,57,3420,t,8,t,t,2,1,1,2,1.333333333,8,28,57,2,f,6,yes,47
67683103,49,4,1,179,1667,f,1,t,t,2,1,1,1,1,30,60,90,0,t,7,no,22
184166218,57,5,2,0,941,t,2,t,t,6,15,3,3,7,0,0,0,0,f,6,yes,18
184166218,57,18,2,62,941,t,2,t,t,6,15,3,3,7,0,26,56,3,f,6,yes,19
766039,58,76,8,57,3420,t,8,t,t,2,1,1,2,1.333333333,8,28,57,0,f,6,yes,40
48583008,75,0,1,0,1828,f,1,t,f,1,1,1,1,1,0,0,0,0,t,3,no,15
766039,85,53,8,57,3420,t,8,t,t,2,1,1,1,1,8,28,57,0,f,6,yes,47
766039,85,14,8,0,3420,t,8,t,t,2,1,1,1,1,0,0,0,1,f,6,yes,47
276327149,95,0,1,29,484,f,0,t,f,2,1,1,1,1,29,29,29,0,t,2,no,13
80752999,140,10,1,300,1595,f,1,t,f,2,1,1,1,1,0,0,25,1,t,3,no,20
90160690,40,4,1,0,1547,f,1,t,t,2,15,1,2,6,0,0,0,0,f,5,no,22
179037903,75,0,1,179,969,f,1,t,f,1,1,1,,1,29,59,89,0,f,4,yes,16
76672849,27,0,1,0,1615,f,1,t,f,1,1,1,1,1,0,0,0,0,f,1,no,8
2887508,39,23,2,365,3045,t,2,t,t,2,1,1,1,1,30,60,90,2,f,6,no,22
2772795,50,0,1,0,3057,f,1,t,t,2,1,1,1,1,0,0,0,0,f,5,no,12
125289634,51,3,1,31,1309,t,2,t,t,1,1,1,0,0.666666667,19,31,31,0,t,6,yes,33
2887508,70,4,2,179,3045,t,2,t,t,2,1,1,1,1,29,59,89,3,f,6,no,20
43776498,100,4,3,55,1889,t,3,t,f,1,1,1,1,1,0,25,55,0,t,6,yes,25
199459538,100,3,5,0,862,f,6,t,f,2,1,1,1,1,0,0,0,0,f,2,no,19
234600123,100,8,1,0,675,t,1,t,f,8,5,4,4,4.333333333,0,0,0,3,t,2,no,20
93217648,100,0,4,300,1530,t,4,t,f,2,1,2,0,1,0,0,25,0,f,3,no,19
81469020,100,0,2,89,1591,f,2,t,f,1,1,1,1,1,29,59,89,0,f,6,yes,16
81469020,100,0,2,179,1591,f,2,t,f,1,1,1,1,1,29,59,89,0,f,6,yes,16
126341244,100,0,3,179,1303,f,2,t,f,2,15,1,1,5.666666667,29,59,89,0,f,6,yes,28
42313707,120,11,1,0,1906,f,1,t,t,3,15,1,1,5.666666667,0,0,0,0,f,5,no,26
55184998,120,14,1,269,1758,f,2,t,t,2,15,1,1,5.666666667,29,59,89,0,f,4,no,44
73347124,120,6,3,177,1633,t,6,t,t,4,1,2,3,2,0,0,0,2,f,7,yes,25
43776498,120,2,3,145,1889,t,3,t,f,1,1,1,1,1,0,25,55,1,t,6,yes,25
70271260,125,0,1,0,1651,f,1,t,f,1,1,1,1,1,0,0,0,0,f,3,yes,24
83182850,140,0,3,0,1583,f,3,t,f,2,1,1,1,1,0,0,0,0,f,2,no,26
83182850,150,0,3,0,1583,f,3,t,f,2,1,1,1,1,0,0,0,0,f,2,no,19
91404153,150,0,1,90,1540,f,1,t,f,2,1,1,1,1,30,60,90,0,t,4,yes,19
21983330,195,0,1,0,2233,f,1,t,t,4,15,2,2,6.333333333,0,0,0,0,t,8,yes,17
81442655,250,0,1,179,1591,f,1,t,f,2,1,1,1,1,29,59,89,0,f,1,no,25
41654050,280,10,1,332,1913,t,2,t,t,4,1,1,2,1.333333333,0,27,57,6,f,6,yes,42
199459538,311,1,5,0,862,f,6,t,f,4,2,2,2,2,0,0,0,0,f,2,no,21
123828561,33,8,2,83,1318,f,2,t,t,1,1,1,1,1,0,0,0,2,f,8,yes,12
60960633,395,2,3,90,1716,t,7,t,f,2,2,5,2,3,30,60,90,0,t,6,yes,28
87827181,40,1,1,0,1560,f,1,t,f,6,3,3,3,3,0,0,0,0,f,5,yes,12
93217648,41,1,4,86,1530,t,4,t,f,1,1,1,1,1,26,56,86,0,t,3,no,14
4546887,44,10,1,365,2870,f,2,t,f,1,1,1,1,1,30,60,90,0,f,5,no,41
123828561,45,66,2,117,1318,f,2,t,t,1,1,1,1,1,0,3,28,0,f,8,yes,6
9600458,45,0,1,325,2575,f,1,t,t,1,1,1,1,1,0,20,50,0,t,6,yes,21
12384860,48,36,2,209,2456,f,2,t,t,2,1,1,1,1,0,0,0,2,t,4,no,0
40642111,49,100,1,179,1924,t,1,t,f,2,1,1,1,1,30,60,90,25,f,8,yes,29
48445727,49,92,1,0,1829,t,1,t,f,2,15,1,1,5.666666667,0,0,0,28,f,9,yes,35
271081082,49,6,1,0,505,f,1,t,f,2,1,1,2,1.333333333,0,0,0,3,f,2,no,35
73347124,50,13,3,0,1633,t,6,t,t,1,1,1,1,1,0,0,0,3,f,7,yes,31
117813296,50,81,1,0,1356,f,1,t,f,2,15,1,1,5.666666667,0,0,0,0,t,3,no,19
